Thread 1 Task 0x0000027e17b12100 Total snapshots: 27182. Utilization: 99%
 Count  Overhead File                    Line Function
     5         5 @Base\dict.jl           1006 get(dict::Base.PersistentDict{Bas…
    11         0 @Base\dict.jl           1009 get(dict::Base.PersistentDict{Bas…
    31        31 @Base\dict.jl           1013 get(dict::Base.PersistentDict{Bas…
     5         5 @Base\dict.jl            475 getindex(h::Dict{Union{Int64, Sym…
    22         0 @Base\dict.jl            476 getindex(h::Dict{Symbol, String},…
     1         0 @Base\dict.jl            477 getindex(h::Dict{Union{Int64, Sym…
    33         0 @Base\dict.jl            128 hashindex
     3         0 @Base\dict.jl            129 hashindex
     3         0 @Base\dict.jl            130 hashindex
    14         0 @Base\dict.jl            548 haskey
     2         2 @Base\dict.jl              ? ht_keyindex(h::Dict{Any, Int64}, …
    16        16 @Base\dict.jl            236 ht_keyindex(h::Dict{Base.PkgId, M…
     8         8 @Base\dict.jl            237 ht_keyindex(h::Dict{Base.PkgId, M…
    12         6 @Base\dict.jl            237 ht_keyindex
     1         0 @Base\dict.jl            240 ht_keyindex
    18         0 @Base\dict.jl            241 ht_keyindex(h::Dict{String, Vecto…
     6         0 @Base\dict.jl            241 ht_keyindex
    32         0 @Base\dict.jl            242 ht_keyindex(h::Dict{String, Vecto…
     7         0 @Base\dict.jl            242 ht_keyindex
     1         0 @Base\dict.jl            243 ht_keyindex(h::Dict{String, Vecto…
     9         0 @Base\dict.jl            246 ht_keyindex
     6         0 @Base\dict.jl            246 ht_keyindex(h::Dict{Base.PkgId, M…
     1         0 @Base\dict.jl            248 ht_keyindex(h::Dict{String, Vecto…
     3         0 @Base\dict.jl            248 ht_keyindex
     6         0 @Base\dict.jl            705 isempty
    15         0 @Base\dict.jl            133 isslotempty
     9         0 @Base\div.jl              49 div
     9         0 @Base\div.jl             345 div
    10         0 @Base\div.jl             181 divrem
     9         0 @Base\div.jl             203 divrem
     1         0 @Base\div.jl             204 divrem
   113       112 @Base\env.jl              23 _getenvlen
     7         7 @Base\env.jl              27 access_env(onError::Returns{Strin…
   123         0 @Base\env.jl              28 access_env(onError::Returns{Strin…
   113         0 @Base\env.jl              29 access_env(onError::Returns{Strin…
   266        10 @Base\env.jl             165 get
    50         0 @Base\env.jl              14 macro expansion
     2         2 @Base\env.jl              19 macro expansion
    13        13 @Base\env.jl               8 memoized_env_lookup(str::String)
   110         0 @Base\env.jl              13 memoized_env_lookup(str::String)
     2         2 @Base\essentials.jl        ? handle_message(logger::Base.CoreL…
  4659       180 @Base\essentials.jl     1089 #invoke_in_world#3
 26792       158 @Base\essentials.jl     1055 #invokelatest#2
 26792         0 @Base\essentials.jl     1055 invokelatest(::Any, ::Any, ::Vara…
     2         2 @Base\essentials.jl     1037 Val
    17        17 @Base\essentials.jl      496 argtail
     1         1 @Base\essentials.jl        ? collect(itr::Base.Generator{Vecto…
     1         1 @Base\essentials.jl      461 convert(::Type{String}, x::String)
     6         6 @Base\essentials.jl        ? getindex
    15        15 @Base\essentials.jl      399 getindex
     4         4 @Base\essentials.jl      914 getindex(A::Vector{Float64}, i::I…
     7         6 @Base\essentials.jl      916 getindex
    54        54 @Base\essentials.jl      917 getindex
     8         8 @Base\essentials.jl      917 getindex(A::Vector{Vector{Float64…
    16        16 @Base\essentials.jl      796 ifelse
  4659         0 @Base\essentials.jl     1086 invoke_in_world
 26792         0 @Base\essentials.jl     1052 invokelatest(::Any)
 14758         0 @Base\essentials.jl     1052 invokelatest
     2         2 @Base\essentials.jl       11 length
     1         0 @Base\essentials.jl      666 oftype
     7         7 @Base\essentials.jl      923 setindex!
    18         1 @Base\essentials.jl      514 tail
     1         1 @Base\float.jl           617 !=
    47        47 @Base\float.jl           493 *
     1         1 @Base\float.jl           493 *(x::Float64, y::Float64)
     4         4 @Base\float.jl           491 +
     2         2 @Base\float.jl           491 +(x::Float64, y::Float64)
     3         3 @Base\float.jl           489 -(x::Float64)
     8         8 @Base\float.jl           492 -
     1         1 @Base\float.jl           492 -(x::Float64, y::Float64)
     9         9 @Base\float.jl           494 /
     1         1 @Base\float.jl           619 <=
     1         1 @Base\float.jl           990 Int64(x::Float64)
     3         2 @Base\float.jl           991 Int64
     2         2 @Base\float.jl           991 Int64(x::Float64)
     4         4 @Base\float.jl           692 abs
     1         0 @Base\float.jl           702 isnan
     1         1 @Base\float.jl           496 muladd
     1         1 @Base\float.jl           984 round
     1         1 @Base\float.jl           416 unsafe_trunc
     1         0 @Base\floatfuncs.jl      357 fma
     1         1 @Base\floatfuncs.jl      352 fma_llvm
     1         0 @Base\floatfuncs.jl       45 isinteger
     1         0 @Base\floatfuncs.jl       15 signbit
     5         5 @Base\gcutils.jl         160 enable_finalizers
     1         1 @Base\genericmemory.jl     ? _typed_hcat(::Type{Float64}, A::T…
     1         0 @Base\genericmemory.jl   174 copyto!
    10         0 @Base\genericmemory.jl   175 copyto!
     8         0 @Base\genericmemory.jl   197 fill!
    16        16 @Base\genericmemory.jl   245 setindex!
     2         0 @Base\genericmemory.jl   115 unsafe_copyto!
   512         0 @Base\genericmemory.jl   121 unsafe_copyto!
    14        14 @Base\genericmemory.jl   125 unsafe_copyto!
    10         1 @Base\genericmemory.jl   139 unsafe_copyto!
    11         0 @Base\hamt.jl             93 HashState
    32         0 @Base\hashing.jl          28 hash
     1         0 @Base\hashing.jl          38 hash
    31        30 @Base\hashing.jl         118 hash
    40        40 @Base\iddict.jl           92 get
     1         1 @Base\iddict.jl           93 get
     4         0 @Base\iddict.jl          103 pop!
     3         3 @Base\iddict.jl          104 pop!
     7         0 @Base\iddict.jl          115 pop!
     7         7 @Base\iddict.jl           62 rehash!
     7         0 @Base\iddict.jl           82 setindex!
     4         0 @Base\iddict.jl           85 setindex!
    20        20 @Base\iddict.jl           86 setindex!
     3         3 @Base\indices.jl           ? GenericMemory
     1         0 @Base\indices.jl         188 promote_shape
     1         1 @Base\indices.jl           ? setindex!(A::Vector{Float64}, X::…
    20         0 @Base\indices.jl         359 to_indices
    20         0 @Base\indices.jl         368 to_indices
     2         2 @Base\int.jl               ? handle_message(logger::Base.CoreL…
    13        13 @Base\int.jl              88 *(x::Int64, y::Int64)
     5         5 @Base\int.jl              88 *
     3         3 @Base\int.jl             998 *
     4         0 @Base\int.jl            1013 *
    29        29 @Base\int.jl              87 +(x::Int64, y::Int64)
    28        28 @Base\int.jl              87 +
     1         0 @Base\int.jl            1013 +
     4         4 @Base\int.jl              86 -(x::Int64, y::Int64)
    19        19 @Base\int.jl              86 -
     2         0 @Base\int.jl            1013 -
     6         6 @Base\int.jl               ? <
    57        57 @Base\int.jl              83 <
     8         8 @Base\int.jl             513 <
     2         0 @Base\int.jl             520 <
     2         2 @Base\int.jl             529 <<
     1         0 @Base\int.jl             536 <<
    15        15 @Base\int.jl             514 <=
     1         1 @Base\int.jl             515 <=
     2         0 @Base\int.jl             518 ==
     2         2 @Base\int.jl             528 >>
     4         0 @Base\int.jl             534 >>
     4         4 @Base\int.jl               ? copy
     4         0 @Base\int.jl             230 div
     4         4 @Base\int.jl             295 div
    13        13 @Base\int.jl             297 div
     3         3 @Base\int.jl             544 rem
     1         0 @Base\int.jl             139 signbit
     3         3 @Base\int.jl               ? termlength(str::SubString{String})
     3         3 @Base\int.jl             372 |
     6         6 @Base\intfuncs.jl          ? append_c_digits(olength::Int64, d…
     4         4 @Base\intfuncs.jl        801 append_c_digits(olength::Int64, d…
     2         0 @Base\intfuncs.jl        803 append_c_digits(olength::Int64, d…
    10         0 @Base\intfuncs.jl        804 append_c_digits(olength::Int64, d…
     1         0 @Base\intfuncs.jl        806 append_c_digits(olength::Int64, d…
     1         0 @Base\intfuncs.jl        808 append_c_digits(olength::Int64, d…
     3         3 @Base\intfuncs.jl        829 append_c_digits_fast(olength::Int…
    24         0 @Base\intfuncs.jl        842 append_c_digits_fast(olength::Int…
     1         1 @Base\intfuncs.jl        843 append_c_digits_fast(olength::Int…
     1         1 @Base\io.jl                ? get
     1         1 @Base\io.jl              441 get
     4         4 @Base\io.jl              441 getproperty
    93         0 @Base\io.jl              452 unsafe_write
  8311         2 @Base\io.jl              803 unsafe_write
    17         0 @Base\io.jl              450 write
     3         3 @Base\io.jl              833 write(s::Base.TTY, A::Vector{UInt…
  8267         0 @Base\io.jl              837 write(s::Base.TTY, A::Vector{UInt…
    44         0 @Base\io.jl              837 write
    13        13 @Base\io.jl              865 write(io::IOBuffer, c::Char)
    20         0 @Base\io.jl              869 write(io::IOBuffer, c::Char)
     3         2 @Base\io.jl              870 write(io::IOBuffer, c::Char)
    44         0 @Base\iobuffer.jl        112 #IOBuffer#518
     1         0 @Base\iobuffer.jl        114 #IOBuffer#518
    89         0 @Base\iobuffer.jl        128 #IOBuffer#519
     8         0 @Base\iobuffer.jl        135 #IOBuffer#519
    44        44 @Base\iobuffer.jl         22 GenericIOBuffer
    44         0 @Base\iobuffer.jl         30 GenericIOBuffer
    45         0 @Base\iobuffer.jl         97 GenericIOBuffer
    97         0 @Base\iobuffer.jl        119 GenericIOBuffer
   265         0 @Base\iobuffer.jl         44 StringMemory
    67         0 @Base\iobuffer.jl         45 StringVector
    17        17 @Base\iobuffer.jl        300 _resize!(io::IOBuffer, sz::Int64)
     1         0 @Base\iobuffer.jl        301 _resize!(io::IOBuffer, sz::Int64)
   152         0 @Base\iobuffer.jl        317 _resize!(io::IOBuffer, sz::Int64)
    11         0 @Base\iobuffer.jl        319 _resize!(io::IOBuffer, sz::Int64)
     2         0 @Base\iobuffer.jl        320 _resize!(io::IOBuffer, sz::Int64)
     2         0 @Base\iobuffer.jl        322 _resize!(io::IOBuffer, sz::Int64)
     8         0 @Base\iobuffer.jl        323 _resize!(io::IOBuffer, sz::Int64)
     2         2 @Base\iobuffer.jl        325 _resize!(io::IOBuffer, sz::Int64)
   159         0 @Base\iobuffer.jl        156 _similar_data
     1         0 @Base\iobuffer.jl        504 _unsafe_take!
    11         4 @Base\iobuffer.jl        395 ensureroom
    14         0 @Base\iobuffer.jl        396 ensureroom
     6         3 @Base\iobuffer.jl        398 ensureroom
     3         0 @Base\iobuffer.jl        399 ensureroom
     1         0 @Base\iobuffer.jl        400 ensureroom
   197         3 @Base\iobuffer.jl        401 ensureroom
    12         0 @Base\iobuffer.jl        371 ensureroom_slowpath(io::IOBuffer,…
     2         0 @Base\iobuffer.jl        372 ensureroom_slowpath(io::IOBuffer,…
     1         1 @Base\iobuffer.jl        428 isopen(io::IOBuffer)
     5         5 @Base\iobuffer.jl        462 take!(io::IOBuffer)
     2         0 @Base\iobuffer.jl        466 take!(io::IOBuffer)
     9         0 @Base\iobuffer.jl        469 take!(io::IOBuffer)
     2         0 @Base\iobuffer.jl        484 take!(io::IOBuffer)
     1         0 @Base\iobuffer.jl        485 take!(io::IOBuffer)
     3         0 @Base\iobuffer.jl        486 take!(io::IOBuffer)
     3         3 @Base\iobuffer.jl          ? unsafe_write(to::IOBuffer, p::Ptr…
    30        30 @Base\iobuffer.jl        521 unsafe_write(to::IOBuffer, p::Ptr…
   213         0 @Base\iobuffer.jl        522 unsafe_write(to::IOBuffer, p::Ptr…
     4         3 @Base\iobuffer.jl        523 unsafe_write(to::IOBuffer, p::Ptr…
     6         0 @Base\iobuffer.jl        524 unsafe_write(to::IOBuffer, p::Ptr…
    19        15 @Base\iobuffer.jl        527 unsafe_write(to::IOBuffer, p::Ptr…
    30         0 @Base\iobuffer.jl        528 unsafe_write(to::IOBuffer, p::Ptr…
     2         0 @Base\iobuffer.jl        530 unsafe_write(to::IOBuffer, p::Ptr…
     6         0 @Base\iobuffer.jl        533 unsafe_write(to::IOBuffer, p::Ptr…
     3         3 @Base\iobuffer.jl        534 unsafe_write(to::IOBuffer, p::Ptr…
     2         0 @Base\iobuffer.jl        535 unsafe_write(to::IOBuffer, p::Ptr…
     6         6 @Base\iobuffer.jl        537 unsafe_write(to::IOBuffer, p::Ptr…
    19         0 @Base\iobuffer.jl        541 write
     1         0 @Base\iobuffer.jl        543 write
    29        20 @Base\iterators.jl       326 get
    18        18 @Base\iterators.jl       299 iterate
    36        32 @Base\iterators.jl       289 length
    10         0 @Base\iterators.jl      1569 only
     8         8 @Base\libc.jl            383 free
    61        61 @Base\libc.jl            392 malloc
    19        19 @Base\libuv.jl            48 iolock_begin
    37        37 @Base\libuv.jl            49 iolock_end
     9         9 @Base\libuv.jl            55 preserve_handle(x::Task)
    11         7 @Base\libuv.jl            56 preserve_handle(x::Task)
    40         0 @Base\libuv.jl            57 preserve_handle(x::Task)
    31         0 @Base\libuv.jl            58 preserve_handle(x::Task)
     4         0 @Base\libuv.jl            59 preserve_handle(x::Task)
   107       107 @Base\libuv.jl           125 process_events
     2         1 @Base\libuv.jl            64 unpreserve_handle(x::Task)
     7         0 @Base\libuv.jl            69 unpreserve_handle(x::Task)
     1         0 @Base\libuv.jl            73 unpreserve_handle(x::Task)
     4         4 @Base\libuv.jl             ? unsafe_write(s::Base.TTY, p::Ptr{…
     3         3 @Base\libuv.jl            30 uv_req_data
     3         3 @Base\libuv.jl            31 uv_req_set_data
     1         1 @Base\libuv.jl            32 uv_req_set_data
     1         1 @Base\linked_list.jl      18 isempty
     1         1 @Base\linked_list.jl      56 push!
 26792         0 @Base\loading.jl        2734 include_string(mapexpr::typeof(RE…
     2         2 @Base\lock.jl            126 _trylock(rl::ReentrantLock, ct::T…
     2         0 @Base\lock.jl            129 _trylock(rl::ReentrantLock, ct::T…
    11        11 @Base\lock.jl            178 (::Base.var"#_unlock#734")(rl::Re…
     3         0 @Base\lock.jl            183 (::Base.var"#_unlock#734")(rl::Re…
     3         3 @Base\lock.jl             52 assert_havelock
     3         0 @Base\lock.jl            328 getindex
    25         0 @Base\lock.jl            147 lock
    29         0 @Base\lock.jl            350 lock
    29         0 @Base\lock.jl            271 macro expansion
    12        12 @Base\lock.jl            272 macro expansion
    52         0 @Base\lock.jl            273 macro expansion
    17         0 @Base\lock.jl            275 macro expansion
    21         0 @Base\lock.jl            116 trylock
     4         0 @Base\lock.jl            122 trylock
    17         0 @Base\lock.jl            178 unlock
    17         0 @Base\lock.jl            352 unlock
     1         1 @Base\lock.jl              ? workqueue_for(tid::Int64)
     1         1 @Base\locks-mt.jl         41 lock(l::Base.Threads.SpinLock)
     5         0 @Base\locks-mt.jl         43 lock(l::Base.Threads.SpinLock)
     2         2 @Base\locks-mt.jl         53 trylock
     3         0 @Base\locks-mt.jl         56 trylock
     5         0 @Base\locks-mt.jl         65 unlock
     2         0 @Base\locks-mt.jl         68 unlock
     5         5 …ging\ConsoleLogger.jl     ? handle_message(logger::Base.CoreL…
     3         3 …ging\ConsoleLogger.jl   106 handle_message(logger::Base.CoreL…
    16        16 …ging\ConsoleLogger.jl   109 handle_message(logger::Base.CoreL…
    29         0 …ging\ConsoleLogger.jl   110 handle_message(logger::Base.CoreL…
     1         1 …ging\ConsoleLogger.jl   111 handle_message(logger::Base.CoreL…
    15        15 …ging\ConsoleLogger.jl   120 handle_message(logger::Base.CoreL…
    30        30 …ging\ConsoleLogger.jl   121 handle_message(logger::Base.CoreL…
   160        65 …ging\ConsoleLogger.jl   126 handle_message(logger::Base.CoreL…
    26        25 …ging\ConsoleLogger.jl   130 handle_message(logger::Base.CoreL…
     3         3 …ging\ConsoleLogger.jl   131 handle_message(logger::Base.CoreL…
  4532         0 …ging\ConsoleLogger.jl   133 handle_message(logger::Base.CoreL…
    36         0 …ging\ConsoleLogger.jl   134 handle_message(logger::Base.CoreL…
    18         0 …ging\ConsoleLogger.jl   151 handle_message(logger::Base.CoreL…
   444       116 …ging\ConsoleLogger.jl   156 handle_message(logger::Base.CoreL…
    12         0 …ging\ConsoleLogger.jl   158 handle_message(logger::Base.CoreL…
   100        96 …ging\ConsoleLogger.jl   159 handle_message(logger::Base.CoreL…
    35         0 …ging\ConsoleLogger.jl   160 handle_message(logger::Base.CoreL…
   238         0 …ging\ConsoleLogger.jl   174 handle_message(logger::Base.CoreL…
     2         2 …ging\ConsoleLogger.jl   175 handle_message(logger::Base.CoreL…
   327         0 …ging\ConsoleLogger.jl   176 handle_message(logger::Base.CoreL…
    91         1 …ging\ConsoleLogger.jl   178 handle_message(logger::Base.CoreL…
    24         0 …ging\ConsoleLogger.jl   184 handle_message(logger::Base.CoreL…
  8302        30 …ging\ConsoleLogger.jl   187 handle_message(logger::Base.CoreL…
   200         0 …ging\ConsoleLogger.jl    61 default_logcolor
     1         1 …ging\ConsoleLogger.jl     ? default_metafmt(level::Base.CoreL…
     5         5 …ging\ConsoleLogger.jl    67 default_metafmt(level::Base.CoreL…
   200         0 …ging\ConsoleLogger.jl    69 default_metafmt(level::Base.CoreL…
    69         0 …ging\ConsoleLogger.jl    70 default_metafmt(level::Base.CoreL…
    42        42 …ging\ConsoleLogger.jl    72 default_metafmt(level::Base.CoreL…
 14456         3 …ging\ConsoleLogger.jl   106 handle_message(logger::Base.CoreL…
     3         3 …ging\ConsoleLogger.jl    50 min_enabled_level(logger::Base.Co…
     8         3 …ging\ConsoleLogger.jl    47 shouldlog(logger::Base.CoreLoggin…
     4         4 …ging\ConsoleLogger.jl    87 termlength(str::SubString{String})
     2         0 …ging\ConsoleLogger.jl    90 termlength(str::SubString{String})
     4         2 …ging\ConsoleLogger.jl    96 termlength(str::SubString{String})
    11         0 …ging\ConsoleLogger.jl   102 termlength(str::SubString{String})
     1         1 …se\logging\logging.jl     ? current_logger_for_env(std_level:…
     5         5 …se\logging\logging.jl   337 current_logger_for_env(std_level:…
    90         0 …se\logging\logging.jl   338 current_logger_for_env(std_level:…
    90         0 …se\logging\logging.jl   518 current_logstate
     4         4 …se\logging\logging.jl     ? f_ODEs_generalisation(t::Float64,…
     3         3 …se\logging\logging.jl     ? macro expansion
    19        19 …se\logging\logging.jl   382 macro expansion
   864         1 …se\logging\logging.jl   383 macro expansion
     2         2 …se\logging\logging.jl   385 macro expansion
 14657         0 …se\logging\logging.jl   388 macro expansion
     4         4 …se\logging\logging.jl   397 macro expansion
    97         1 …se\logging\logging.jl   400 macro expansion
    23         2 …se\logging\logging.jl   405 macro expansion
  1552         0 …se\logging\logging.jl   408 macro expansion
     1         1 …se\logging\logging.jl   176 show(io::IOBuffer, level::Base.Co…
     7         0 …se\logging\logging.jl   179 show(io::IOBuffer, level::Base.Co…
 26792         0 …se\logging\logging.jl   632 with_logger
 26792         0 …se\logging\logging.jl   522 with_logstate(f::VSCodeServer.var…
     1         1 @Base\math.jl              ? ^(x::Float64, n::Int64)
     3         3 @Base\math.jl           1145 ^(x::Float64, y::Float64)
     3         0 @Base\math.jl           1150 ^(x::Float64, y::Float64)
     1         0 @Base\math.jl           1154 ^(x::Float64, y::Float64)
    12         1 @Base\math.jl           1155 ^(x::Float64, y::Float64)
    10         0 @Base\math.jl           1199 ^(x::Float64, n::Int64)
     1         0 @Base\math.jl            841 max
     4         4 @Base\math.jl              ? pow_body(x::Float64, n::Int64)
     3         3 @Base\math.jl           1202 pow_body(x::Float64, n::Int64)
     2         0 @Base\math.jl           1224 pow_body(x::Float64, n::Int64)
     1         0 @Base\math.jl           1225 pow_body(x::Float64, n::Int64)
     1         0 @Base\math.jl             57 two_mul
     1         1 @Base\methodshow.jl        ? f_ODEs_generalisation(t::Float64,…
     1         0 @Base\methodshow.jl      135 fixup_stdlib_path
    13         0 @Base\methodshow.jl      136 fixup_stdlib_path
   764         0 @Base\methodshow.jl      138 fixup_stdlib_path
   774         1 @Base\methodshow.jl      139 fixup_stdlib_path
     1         1 @Base\methodshow.jl        ? macro expansion
     5         0 …e\multidimensional.jl   914 _getindex
   157         1 …e\multidimensional.jl   915 _getindex
     1         0 …e\multidimensional.jl   966 _setindex!
    25         3 …e\multidimensional.jl   967 _setindex!
   140         0 …e\multidimensional.jl   927 _unsafe_getindex
    16         0 …e\multidimensional.jl   929 _unsafe_getindex
    16         0 …e\multidimensional.jl   938 _unsafe_getindex!
     3         3 …e\multidimensional.jl     ? _unsafe_setindex!(::IndexLinear, …
     8         0 …e\multidimensional.jl   973 _unsafe_setindex!(::IndexLinear, …
     4         0 …e\multidimensional.jl   979 _unsafe_setindex!(::IndexLinear, …
     7         7 …e\multidimensional.jl   996 _unsafe_setindex!(::IndexLinear, …
    15         0 …e\multidimensional.jl   940 macro expansion
     9         9 @Base\namedtuple.jl      388 get
     7         0 @Base\number.jl            7 convert
     1         0 @Base\number.jl           42 iszero
    18         4 @Base\operators.jl       252 !=(T::Type, S::Type)
    23         0 @Base\operators.jl       277 !=
     4         3 @Base\operators.jl      1179 !=(x::String)
    15         1 @Base\operators.jl       596 *(a::Float64, b::Vector{Float64},…
     1         1 @Base\operators.jl       533 +(x::Float64)
     1         0 @Base\operators.jl       596 +
     1         1 @Base\operators.jl       402 <=(x::Base.CoreLogging.LogLevel, …
    13        13 @Base\operators.jl       251 ==
    13         0 @Base\operators.jl       379 >
     7         0 @Base\operators.jl       426 >=
     3         3 @Base\operators.jl      1140 Fix2
     1         0 @Base\operators.jl      1144 Fix2
     1         1 @Base\operators.jl       957 Returns
     2         0 @Base\operators.jl       553 afoldl
     2         0 @Base\operators.jl      1155 isequal
     1         0 @Base\ordering.jl        120 lt
     2         0 @Base\pair.jl             58 first
    55         0 @Base\parse.jl           254 #parse#619
    11         0 @Base\parse.jl           250 #tryparse#618
     1         0 @Base\parse.jl           105 __convert_digit
     1         1 @Base\parse.jl             ? displaysize()
    55         0 @Base\parse.jl           253 parse
     1         1 @Base\parse.jl             ? parseint_iterate(s::String, start…
     6         6 @Base\parse.jl            51 parseint_iterate(s::String, start…
     2         1 @Base\parse.jl            52 parseint_iterate(s::String, start…
     1         0 @Base\parse.jl            54 parseint_iterate(s::String, start…
     4         4 @Base\parse.jl             ? parseint_preamble(signed::Bool, b…
    14        14 @Base\parse.jl            58 parseint_preamble(signed::Bool, b…
    10         1 @Base\parse.jl            59 parseint_preamble(signed::Bool, b…
     1         0 @Base\parse.jl            61 parseint_preamble(signed::Bool, b…
     1         1 @Base\parse.jl            67 parseint_preamble(signed::Bool, b…
     1         1 @Base\parse.jl            68 parseint_preamble(signed::Bool, b…
     3         0 @Base\parse.jl            77 parseint_preamble(signed::Bool, b…
     1         0 @Base\parse.jl            79 parseint_preamble(signed::Bool, b…
     1         1 @Base\parse.jl            90 parseint_preamble(signed::Bool, b…
    11         0 @Base\parse.jl           248 tryparse
     5         5 @Base\parse.jl             ? tryparse_internal(::Type{Int64}, …
    16        16 @Base\parse.jl           112 tryparse_internal(::Type{Int64}, …
    36         0 @Base\parse.jl           113 tryparse_internal(::Type{Int64}, …
     1         0 @Base\parse.jl           126 tryparse_internal(::Type{Int64}, …
     2         2 @Base\parse.jl           134 tryparse_internal(::Type{Int64}, …
     1         0 @Base\parse.jl           141 tryparse_internal(::Type{Int64}, …
     1         0 @Base\parse.jl           152 tryparse_internal(::Type{Int64}, …
     8         8 @Base\partr.jl           179 multiq_check_empty()
     1         0 @Base\partr.jl           185 multiq_check_empty()
     3         3 @Base\partr.jl           122 multiq_deletemin()
    11        11 @Base\partr.jl           127 multiq_deletemin()
     6         0 @Base\partr.jl           131 multiq_deletemin()
   138         0 @Base\path.jl            101 isabspath
   274         0 @Base\path.jl            136 isdirpath
     3         3 @Base\path.jl              ? normpath(path::String)
     8         8 @Base\path.jl            390 normpath(path::String)
   138         0 @Base\path.jl            391 normpath(path::String)
   274         0 @Base\path.jl            392 normpath(path::String)
   101         0 @Base\path.jl            393 normpath(path::String)
   473         0 @Base\path.jl            394 normpath(path::String)
    33         2 @Base\path.jl            395 normpath(path::String)
    19         0 @Base\path.jl            399 normpath(path::String)
    27         0 @Base\path.jl            400 normpath(path::String)
     1         0 @Base\path.jl            404 normpath(path::String)
     1         0 @Base\path.jl            408 normpath(path::String)
   356         0 @Base\path.jl            414 normpath(path::String)
    27         0 @Base\path.jl            416 normpath(path::String)
    32         0 @Base\path.jl            421 normpath(path::String)
     3         3 @Base\path.jl             54 splitdrive(path::String)
   268         0 @Base\path.jl             55 splitdrive(path::String)
    47         1 @Base\path.jl             56 splitdrive(path::String)
    89        71 @Base\pcre.jl            205 _exec
   334       334 @Base\pcre.jl            227 create_match_data
    89         0 @Base\pcre.jl            199 exec
     2         2 @Base\pcre.jl            213 exec_r(re::Ptr{Nothing}, subject:…
   127         0 @Base\pcre.jl            214 exec_r(re::Ptr{Nothing}, subject:…
    34         0 @Base\pcre.jl            215 exec_r(re::Ptr{Nothing}, subject:…
    18         0 @Base\pcre.jl            216 exec_r(re::Ptr{Nothing}, subject:…
     1         1 @Base\pcre.jl            217 exec_r(re::Ptr{Nothing}, subject:…
    10        10 @Base\pcre.jl            220 exec_r_data(re::Ptr{Nothing}, sub…
   207         0 @Base\pcre.jl            221 exec_r_data(re::Ptr{Nothing}, sub…
    55         0 @Base\pcre.jl            222 exec_r_data(re::Ptr{Nothing}, sub…
     4         4 @Base\pcre.jl            223 exec_r_data(re::Ptr{Nothing}, sub…
   119       119 @Base\pcre.jl            178 free_match_data
     1         1 @Base\pcre.jl              ? get_local_match_context()
     4         4 @Base\pcre.jl             34 get_local_match_context()
     2         2 @Base\pcre.jl             36 get_local_match_context()
     9         0 @Base\pcre.jl             50 get_local_match_context()
     2         2 @Base\pcre.jl             56 get_local_match_context()
     2         2 @Base\pcre.jl            144 ovec_length
     4         4 @Base\pcre.jl            150 ovec_ptr
     1         1 @Base\pkgid.jl            21 hash
    11         0 @Base\pkgid.jl            22 hash
     4         4 @Base\pointer.jl         316 +
     1         1 @Base\pointer.jl          65 cconvert
     6         6 @Base\pointer.jl          30 convert
     1         1 @Base\pointer.jl          62 unsafe_convert
     6         0 @Base\pointer.jl          75 unsafe_convert
    22        22 @Base\pointer.jl         153 unsafe_load
     2         0 @Base\promotion.jl       430 *
     2         2 @Base\promotion.jl       431 -(x::Float64, y::Int64)
     5         0 @Base\promotion.jl       484 <
     1         0 @Base\promotion.jl       483 ==
    52        52 @Base\promotion.jl       639 ==
     7         7 @Base\promotion.jl       639 ==(x::Int64, y::Int64)
     3         0 @Base\promotion.jl       375 _promote
     4         4 @Base\promotion.jl         ? filter!(f::Base.Fix2{typeof(!=), …
     1         1 @Base\promotion.jl         ? isspace
     5         0 @Base\promotion.jl       650 max
     6         0 @Base\promotion.jl       494 min
     3         0 @Base\promotion.jl       651 min
     3         0 @Base\promotion.jl       400 promote
    21         1 @Base\range.jl             3 (::Colon)(a::Int64, b::Float64)
    11         4 @Base\range.jl             5 (::Colon)(start::Int64, stop::Int…
     7         0 @Base\range.jl             5 Colon
    20         2 @Base\range.jl            14 Colon
     9         3 @Base\range.jl            14 (::Colon)(a::Float64, b::Float64)
    14         2 @Base\range.jl           408 UnitRange
     1         0 @Base\range.jl           938 _getindex
     1         1 @Base\range.jl             ? f_ODEs_generalisation(t::Float64,…
     3         0 @Base\range.jl           841 first
   174        96 @Base\range.jl           443 getindex
     2         0 @Base\range.jl           681 isempty
     3         3 @Base\range.jl             ? iterate(r::UnitRange{Int64}, i::I…
     1         1 @Base\range.jl             ? iterate
     2         0 @Base\range.jl           901 iterate
     8         7 @Base\range.jl           904 iterate(r::UnitRange{Int64})
    19        18 @Base\range.jl           904 iterate
     6         6 @Base\range.jl           906 iterate(r::UnitRange{Int64}, i::I…
     9         8 @Base\range.jl           908 iterate
     1         0 @Base\range.jl           909 iterate(r::UnitRange{Int64}, i::I…
     1         1 @Base\range.jl           910 iterate(r::UnitRange{Int64}, i::I…
     1         1 @Base\range.jl           472 unchecked_oneto
    12        10 @Base\range.jl           419 unitrange_last
     5         0 @Base\reduce.jl         1243 _any
     1         1 @Base\reduce.jl            ? _mapreduce
     1         1 @Base\reduce.jl          428 _mapreduce
     1         0 @Base\reduce.jl          435 _mapreduce
     1         0 @Base\reduce.jl          437 _mapreduce
